<IP address	port>
124.171.20.128	1194
124.191.132.117	37653
124.214.250.50	6346
125.8.148.56	6346
125.48.8.90	6346
125.54.67.223	21690
125.54.161.198	6346
125.201.122.235	6346
126.22.99.133	6346
126.48.54.212	6346
126.90.45.43	6346
133.130.251.250	6346
146.52.17.170	48004
146.52.17.170	49310
149.154.201.75	27016
153.125.85.254	6346
153.224.132.234	6346
154.5.97.40	30093
154.20.165.134	47398
154.45.216.171	6634
157.107.92.45	6346
169.0.152.174	23548
173.22.114.108	26885
173.24.138.2	25565
173.71.154.68	20166
173.84.208.172	10941
173.90.85.70	4462
173.216.88.146	28953
173.216.120.232	16892
173.238.99.164	33086
173.245.143.59	9107
174.45.253.25	44901
175.131.239.146	30353
175.137.134.20	27316
176.31.174.122	6346
176.139.172.37	6346
178.75.16.144	33333
180.9.128.35	36263
180.42.206.32	34334
180.54.3.162	47087
180.147.113.42	16346
181.44.137.27	14300
182.164.200.106	10176
182.167.119.26	16799
184.58.153.52	27016
184.75.223.211	44594
184.75.223.211	44978
184.75.223.211	2509
186.195.115.169	23654
187.245.209.248	39857
192.155.84.113	40680
192.168.11.1	34334
192.168.11.1	47398
192.168.11.1	10792
192.168.11.1	14406
192.168.11.1	16718
192.168.11.1	47186
192.168.11.1	21336
192.168.11.1	7001
192.168.11.1	23648
192.168.11.1	29283
192.168.11.1	3688
192.168.11.1	27016
192.168.11.1	30353
192.168.11.1	8083
192.168.11.1	26264
192.168.11.1	16799
192.168.11.1	36263
192.168.11.1	2995
192.168.11.1	6582
192.168.11.1	26807
192.168.11.1	46523
192.168.11.1	31936
192.168.11.1	18374
192.168.11.1	6346
192.168.11.1	32485
193.40.61.131	32849
198.84.225.24	25229
202.76.219.86	6346
202.170.189.155	6346
203.165.123.13	15190
203.165.193.57	6346
203.213.177.7	7888
205.250.106.8	22180
206.72.213.96	15414
206.123.249.115	7001
206.123.249.117	7001
206.248.118.42	27016
208.103.122.163	7001
208.103.122.164	7001
208.103.122.165	7001
209.195.67.213	3688
210.2.254.49	6346
210.49.88.0	49104
210.84.58.28	37058
210.234.7.189	6346
210.250.67.2	6346
212.51.153.3	6346
212.86.44.91	28049
213.93.134.79	5333
213.229.111.224	4876
218.216.77.236	51124
218.216.77.238	6346
219.28.122.220	6346
219.36.230.195	6346
219.78.199.110	22842
219.124.93.44	6346
220.14.74.38	6346
220.47.242.107	19582
220.48.4.3	42435
220.156.31.4	9950
220.213.70.2	6346
220.217.212.44	6346
221.18.218.24	6346
221.25.248.5	17650
221.42.31.157	6346
221.65.64.163	41398
221.76.73.157	46382
221.170.136.45	39605
222.8.61.6	17869
222.14.196.147	30110
